data_type,group_id,k,n,N
germplasm,GP09,0,30,
germplasm,GP09,0,36,
germplasm,GP01,0,33,
germplasm,GP11,0,345,
germplasm,GP02,0,150,
germplasm,GP02,0,63,
germplasm,GP02,0,46,
germplasm,GP02,0,43,
germplasm,GP09,0,24,
germplasm,GP09,0,26,
germplasm,GP06,0,66,
germplasm,GP06,0,55,
germplasm,GP05,0,93,
germplasm,GP05,0,30,
germplasm,GP05,0,60,
germplasm,GP05,0,66,
germplasm,GP01,0,67,
germplasm,GP05,0,51,
germplasm,GP05,0,50,
germplasm,GP02,0,30,
germplasm,GP02,2,30,
germplasm,GP02,1,30,
germplasm,GP02,1,30,
germplasm,GP02,0,30,
germplasm,GP02,0,30,
germplasm,GP02,2,25,
germplasm,GP02,2,30,
germplasm,GP02,0,30,
germplasm,GP02,0,30,
germplasm,GP02,1,30,
germplasm,GP02,2,23,
germplasm,GP09,1,30,
germplasm,GP09,0,25,
germplasm,GP09,1,26,
germplasm,GP11,0,248,
germplasm,GP11,0,240,
germplasm,GP11,0,400,
germplasm,GP11,0,240,
germplasm,GP11,0,381,
germplasm,GP11,0,840,
germplasm,GP06,0,66,
germplasm,GP06,0,55,
germplasm,GP05,0,90,
germplasm,GP05,0,45,
germplasm,GP05,1,45,
germplasm,GP05,0,90,
germplasm,GP02,0,45,
germplasm,GP02,0,45,
germplasm,GP02,0,45,
germplasm,GP02,0,45,
germplasm,GP05,0,120,
germplasm,GP05,0,120,
germplasm,GP05,0,120,
germplasm,GP05,0,120,
germplasm,GP11,5,360,
germplasm,GP02,2,30,
germplasm,GP02,0,30,
germplasm,GP02,1,23,
germplasm,GP02,0,26,
germplasm,GP02,0,26,
germplasm,GP02,0,30,
germplasm,GP02,2,30,
germplasm,GP02,1,25,
germplasm,GP02,0,22,
germplasm,GP02,0,30,
germplasm,GP09,1,30,
germplasm,GP09,0,23,
germplasm,GP09,0,24,
germplasm,GP05,0,70,
germplasm,GP05,0,85,
germplasm,GP05,0,35,
germplasm,GP02,0,30,
germplasm,GP02,0,30,
germplasm,GP02,1,21,
germplasm,GP02,0,30,
germplasm,GP02,0,30,
germplasm,GP02,0,27,
germplasm,GP02,1,30,
germplasm,GP02,0,30,
germplasm,GP02,0,30,
germplasm,GP09,0,30,
germplasm,GP09,0,28,
germplasm,GP09,0,30,
germplasm,GP09,0,30,
germplasm,GP09,0,27,
germplasm,GP04,0,54,
germplasm,GP01,0,100,
germplasm,GP05,0,25,
germplasm,GP06,0,220,
germplasm,GP06,0,305,
germplasm,GP06,0,166,
germplasm,GP02,0,900,
germplasm,GP02,1,900,
germplasm,GP02,0,420,
germplasm,GP02,0,900,
germplasm,GP02,0,810,
germplasm,GP02,0,90,
germplasm,GP02,0,750,
germplasm,GP02,0,900,
germplasm,GP02,0,600,
germplasm,GP09,0,690,
germplasm,GP09,0,510,
germplasm,GP09,0,900,
germplasm,GP09,0,480,
germplasm,GP09,0,360,
germplasm,GP09,0,900,
germplasm,GP05,0,165,
germplasm,GP05,0,35,
germplasm,GP05,0,70,
germplasm,GP05,10,420,
germplasm,GP05,0,40,
germplasm,GP05,5,80,
germplasm,GP02,4,41,
germplasm,GP02,0,31,
germplasm,GP04,0,56,
germplasm,GP11,0,140,
germplasm,GP11,1,120,
germplasm,GP11,0,80,
germplasm,GP11,0,27,
germplasm,GP11,0,360,
germplasm,GP11,0,21,
germplasm,GP11,0,103,
germplasm,GP11,0,21,
germplasm,GP11,0,42,
germplasm,GP11,0,21,
